%time osc_out lvdt_outp lvdt_outn probe_position U_topDesign.soutput_fx U_topDesign.detect_p U_topDesign.detect_n U_topDesign.pga_out_p U_topDesign.pga_out_n U_topDesign.adc_out_p U_topDesign.adc_out_n
0 0 0 0 0 0 0 0 0 0 0 0
1.19209e-07 0.364121124438 0.361954160418 -0.361960938184 1.87253059277e-05 0 2.03425449803e-05 0.0026913100913 6.76867525037e-05 0.00270207113884 0 0
2.38418e-07 0.549114671567 0.544246145289 -0.544266588099 3.74506118292e-05 0 5.30774898769e-05 0.00605270157201 8.32254229312e-05 0.00606396132277 0 0
3.57627e-07 0.496353600022 0.488405852023 -0.488433470485 5.61759176781e-05 0 0.000112248544394 0.00986082082261 0.000138584069731 0.00995775919979 0 0
4.76836e-07 0.488886165659 0.478050306956 -0.478086469891 7.49012234482e-05 0 0.000198326559271 0.0133935629412 0.000218182834711 0.0135591244294 0 0
5.96045e-07 0.510858129064 0.497112955514 -0.49716008234 9.36265291133e-05 0 0.000310054681237 0.0169324132228 0.000312835679372 0.0171445441531 0 0
7.15254e-07 0.493672958414 0.477019649472 -0.477074108446 0.000112351834647 0 0.000447307961702 0.0204411457988 0.000486207773402 0.020763939108 0 0
8.34463e-07 0.502408464835 0.482889530497 -0.482954024366 0.000131077140023 0 0.000609552010339 0.0238708234947 0.000656678577628 0.0242669910263 0 0
9.53672e-07 0.499723136112 0.477338072785 -0.477411161953 0.000149802445216 0 0.000796012659853 0.0272760965719 0.000821426471118 0.027717522919 0 0
1.072881e-06 0.499541417042 0.474315397062 -0.474397351153 0.000168527750198 0 0.00100625357104 0.0306240136114 0.00105070382303 0.0311495140547 0 0
1.19209e-06 0.500484905778 0.472432711979 -0.472523681304 0.000187253054944 0 0.0012397893476 0.0339287603005 0.00128719122951 0.0345202552181 0 0
1.311299e-06 0.499706435114 0.468844361987 -0.468943974878 0.000205978359427 0 0.00149608131916 0.0371885121773 0.00155163556292 0.037850526853 0 0
1.430508e-06 0.500117260781 0.46646305268 -0.46657149482 0.000224703663621 0 0.00177457850352 0.0404017047197 0.00182387959658 0.0411179468794 0 0
1.549717e-06 0.499982296528 0.463551770988 -0.46366887312 0.0002434289675 0 0.00207474382835 0.0435711771856 0.00212185439629 0.0443446437372 0 0
1.668926e-06 0.499981395376 0.460791431605 -0.460917171922 0.000262154271038 0 0.00239614636944 0.046695901974 0.00245517899785 0.0475392283874 0 0
1.788135e-06 0.50002156025 0.45808844599 -0.458222784969 0.000280879574208 0 0.00273838568332 0.0497770781667 0.00282197602504 0.0507016606022 0 0
1.907344e-06 0.499986426518 0.455326451521 -0.455469316724 0.000299604876984 0 0.00310096299107 0.0528150057033 0.00319366596283 0.0538040479339 0 0
2.026553e-06 0.500005672689 0.4526350845 -0.452786441549 0.00031833017934 0 0.00348336043748 0.0558100064684 0.00358731606781 0.0568644226743 0 0
2.145762e-06 0.499998960306 0.449933833547 -0.450093623631 0.00033705548125 0 0.00388507115466 0.0587625869946 0.00398816228501 0.0598689482655 0 0
2.264971e-06 0.499999261472 0.44725562652 -0.447423802101 0.000355780782687 0 0.00430550627099 0.0616729832543 0.00438372119565 0.0628060873166 0 0
2.38418e-06 0.500000954143 0.444594723167 -0.444771234601 0.000374506083624 0 0.00474440975002 0.0645418562721 0.0048733430985 0.0657760279845 0 0
2.503389e-06 0.499999374568 0.441946370428 -0.4421311673 0.000393231384037 0 0.00520129624417 0.0673695884495 0.00530507331276 0.0686277888096 0 0
2.622598e-06 0.500000272848 0.439316226509 -0.439509260196 0.000411956683898 0 0.00567558185465 0.0701564573927 0.00578174005166 0.0714650000673 0 0
2.741807e-06 0.49999994199 0.436700487398 -0.436901708799 0.000430681983181 0 0.00616705546708 0.0729031108198 0.00631308129338 0.0742983426095 0 0
2.861016e-06 0.49999997153 0.434100652355 -0.43431001262 0.00044940728186 0 0.00667523165673 0.0756099039963 0.0068131509891 0.0770426705453 0 0
2.980225e-06 0.500000042012 0.431516308116 -0.431733759238 0.000468132579909 0 0.00719955237138 0.0782771142481 0.00733435516353 0.0797512921776 0 0
3.099434e-06 0.49999997128 0.428947181354 -0.429172674844 0.000486857877301 0 0.00773979616994 0.0809053436397 0.00792060830226 0.0824689187438 0 0
3.218643e-06 0.500000013055 0.426393434224 -0.426626922685 0.00050558317401 0 0.00829547755053 0.0834949205751 0.0084590024837 0.0850835106687 0 0
3.337852e-06 0.499999996873 0.423854805748 -0.424096241296 0.00052430847001 0 0.00886605507121 0.086046108061 0.00903010822282 0.0876764261407 0 0
3.457061e-06 0.499999998948 0.421331281705 -0.421580617463 0.000543033765275 0 0.00945123097432 0.0885594027701 0.00962784822437 0.0902424273169 0 0
3.57627e-06 0.50000000184 0.418822755294 -0.419079943972 0.000561759059779 0 0.0100506432126 0.0910352277457 0.0102376871426 0.0927677546547 0 0
3.695479e-06 0.499999998686 0.416329130204 -0.416594125472 0.000580484353494 0 0.0106640115191 0.0934740782623 0.0108924662803 0.0952860627513 0 0
3.814688e-06 0.500000000622 0.413850329323 -0.414123084449 0.000599209646395 0 0.011290864611 0.0958762492383 0.0115089778513 0.0977149063824 0 0
3.933897e-06 0.499999999836 0.411386256425 -0.411666725634 0.000617934938456 0 0.0119308754132 0.0982421705557 0.0121969487717 0.100164801525 0 0
4.053106e-06 0.499999999964 0.408936827952 -0.40922496506 0.00063666022965 0 0.0125836488832 0.100572194957 0.0128398150487 0.102519932556 0 0
4.172315e-06 0.50000000008 0.406501955612 -0.406797715391 0.000655385519951 0 0.0132486560946 0.102866532252 0.0135002478672 0.10484373714 0 0
4.291524e-06 0.49999999994 0.404081552999 -0.404384889808 0.000674110809333 0 0.0139256540029 0.105125669168 0.0141995290233 0.107158230521 0 0
4.410733e-06 0.500000000029 0.401675534266 -0.401986403417 0.000692836097769 0 0.0146143725341 0.107350056537 0.0149097175544 0.109436217 0 0
4.529942e-06 0.499999999992 0.399283813919 -0.399602170308 0.000711561385234 0 0.0153143455879 0.109539940398 0.0155993938581 0.111646995109 0 0
4.649151e-06 0.499999999999 0.396906306817 -0.39723210629 0.000730286671701 0 0.0160251877573 0.111695638807 0.0163157816184 0.113838513658 0 0
4.76836e-06 0.500000000003 0.394542928788 -0.394876126771 0.000749011957143 0 0.0167467420285 0.113817689632 0.0170782053606 0.116030799707 0 0
4.887569e-06 0.499999999997 0.392193595517 -0.392534148383 0.000767737241535 0 0.0174786805873 0.115906451454 0.0178212000105 0.118159094162 0 0
